isolate_ID	contigs	total_len	avg_len	N50_len	N90_len	GC	completeness	contamination	gtdb_classification
A99	 770 	4275067	5552.04	614927	93105	43.85	100	0.11	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
BL5	 764 	4340907	5681.82	1117052	285555	44.37	100	0.14	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
G47	 15 	4017896	267859.72	1032778	292355	43.72	100	0.01	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
J1343	 2,225 	4950055	2224.74	79437	373	45.2	100	0.69	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
J268	 740 	4182793	5652.42	829097	94356	44.24	100	0.31	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
J339	 195 	4454665	22844.44	677901	162407	43.02	100	1.55	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
K312	 879 	4288648	4879.01	944534	94652	44.39	100	0.3	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
Q29	 67 	4198486	62663.97	2150999	292250	43.93	100	1.21	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
J135	 1,681 	4688778	2789.28	673431	604	43.65	99.99	1.09	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
J1357	 1,318 	4780349	3626.97	88855	11951	43.7	99.62	0.46	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
BL3	 2,885 	4783519	1658.07	219844	274	46.52	100	0.73	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis
GY5	 17 	3873809	227871.12	1001051	269232	46.52	100	0.38	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis
H35	 516 	4154541	8051.44	567290	144644	46.43	100	1.03	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis
J1345	 12 	3934099	327841.59	1022097	275870	46.39	100	0.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis
K260	 28 	3910008	139643.14	703710	100582	46.54	100	0.01	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis
B7	 12 	4130488	344207.34	1169565	317857	44.54	100	0.39	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus_P;s__Bacillus_P indicus
XR16	 198 	5398975	27267.55	68790	20398	35	100	2.9	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Metabacillus;s__Metabacillus niabensis_A
XR34	 29 	4382956	151136.41	287226	82392	48.66	99.99	0.38	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_B;g__Rossellomorea;s__Rossellomorea marisflavi_A
XR10	 39 	3741682	95940.56	219487	61372	35.99	100	0.01	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_C;g__Weizmannia;s__Weizmannia ginsengihumi
LY5	 34 	5693037	167442.27	1162747	96662	34.97	100	0.83	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A anthracis
TY9	 27 	5626031	208371.52	952224	200622	34.84	100	0.02	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A bombysepticus
K11	 404 	5814051	14391.22	421171	102517	35.2	100	0.58	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus
K21	 1,592 	2410058	1513.86	1921	678	37.06	83.68	4.4	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus
K320	 980 	5574358	5688.12	322512	36414	36.19	99.99	0.48	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus_AU
CH3	 164 	5838345	35599.66	130140	24284	35.15	100	0.05	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A thuringiensis
TY10	 290 	6245331	21535.62	163727	14030	35.12	100	0.03	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A thuringiensis_S
J1037	 1,023 	6254280	6113.67	650571	41706	38.14	100	2.18	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_H;g__Priestia;s__Priestia megaterium
J427	 794 	6066154	7639.99	4192418	51169	37.93	100	0.78	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_H;g__Priestia;s__Priestia megaterium
J1048	 718 	5655296	7876.46	748329	59102	38.24	97.44	0.68	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_H;g__Priestia;s__Priestia megaterium
XR29	 49 	5185499	105826.51	771121	68876	37.95	100	0.76	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_H;g__Priestia;s__Priestia zanthoxyli
J1045	 736 	4395002	5971.47	234412	53174	41.48	100	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__
B4	 60 	3793663	63227.71	213459	44152	42.32	99.97	0.02	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus massiliglaciei
J417	 781 	4696689	6013.69	426326	58393	37.17	100	0.24	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-18226;g__Cytobacillus;s__Cytobacillus kochii
B13	 27 	4693171	173821.14	678586	98603	43	99.98	0.48	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-18226;g__Mesobacillus;s__Mesobacillus oceanisediminis_A
J1365	 979 	5380305	5495.71	182058	36276	36.46	100	3.73	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-18226;g__Niallia;s__Niallia circulans_A
J1044	 757 	3305204	4366.19	713635	202255	56.29	99.91	1.81	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Bhargavaea;s__Bhargavaea lindanitolerans
J1047	 874 	4961506	5676.78	395004	66627	38.26	100	0.37	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus;s__Lysinibacillus capsici
J1049	 824 	4836444	5869.47	662446	84567	37.85	100	0.49	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus;s__Lysinibacillus sp002340205
J1071	 1,453 	5950967	4095.64	122316	16997	37.57	100	1.44	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus;s__Lysinibacillus sp002973635
Q36	 30 	5128851	170961.7	429919	128943	36.65	100	1.97	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus;s__Lysinibacillus sp023337795
CH18	 185 	3814517	20619.01	49639	11490	38.52	100	0.52	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Metasolibacillus;s__
CH16	 630 	2950369	4683.13	7398	2188	39.37	98.51	1.99	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Metasolibacillus;s__
J1055	 883 	4038991	4574.17	103546	12065	35.11	100	1.62	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Rummeliibacillus;s__Rummeliibacillus sp003576525
CH19	 38 	3800042	100001.1	462658	54487	38.56	99.98	0.18	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus;s__Solibacillus silvestris
J1040	 24 	3558534	148272.25	533961	112136	43.47	99.8	0.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina;s__
J1034	 718 	4067547	5665.11	337056	61135	43.86	99.46	0.48	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina;s__
TY27	 37 	4308467	116445.05	448062	151498	35.79	100	1.14	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Ureibacillus;s__
XR23	 105 	3556660	33872.95	93321	21549	35.27	99.97	0.02	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Ureibacillus;s__Ureibacillus halotolerans
XR32	 118 	3799986	32203.27	65831	22155	34.9	99.99	0.71	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Ureibacillus;s__Ureibacillus massiliensis
J1369	 1,085 	4532470	4177.39	669025	52721	38.3	100	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Gracilibacillus;s__Gracilibacillus dipsosauri
H36	 9,203 	7138889	775.71	348005	274	46.45	100	2.75	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Oceanobacillus;s__Oceanobacillus kimchii
J1385	 903 	5355842	5931.17	436385	103019	38.3	100	3.7	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Oceanobacillus;s__Oceanobacillus sojae
XR49	 8 	3532816	441602	1220674	342486	42.65	100	1.5	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Terribacillus;s__Terribacillus saccharophilus
XR43	 34 	3272681	96255.32	208285	72684	46.6	99.99	2.36	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Terribacillus;s__Terribacillus sp002271665
MR61	 10 	3839141	383914.09	887685	335078	39.15	100	1.3	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Virgibacillus;s__
H139	 589 	3783677	6423.9	165596	40610	31.98	100	3.81	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa
J343	 316 	2562356	8108.72	67971	15330	38.21	98.14	4.15	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalicoccus;s__Faecalicoccus sp900546545
J548	 769 	3314905	4310.67	230716	27192	35.16	100	0.42	d__Bacteria;p__Bacillota;c__Bacilli;o__Haloplasmatales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sanguinis
J77	 1,148 	2329201	2028.92	100000	286	41.15	99.99	1.13	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus urinaeequi
K271	 911 	2233723	2451.95	139436	386	40.86	99.93	1.09	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus urinaeequi
K332	 2,244 	2726240	1214.9	145739	272	42.8	99.7	4.13	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus urinaeequi
K319	 480 	2190396	4563.33	200912	32157	39.97	99.66	1.03	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus urinaeequi
K341	 46 	2605559	56642.59	232513	56129	37.8	100	0.99	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium_A;s__Carnobacterium_A sp001483965
J1406	 472 	3206747	6793.96	398707	45798	37.72	100	0.35	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis
R106	 45 	4297118	95491.51	253714	63539	39.16	99.53	1.65	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A avium
J341	 1,098 	4515142	4112.15	62336	9624	39.39	99.43	1.72	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A avium
H203	 1,022 	3456109	3381.71	240396	27718	39.35	100	3.2	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B durans
J396	 2,963 	3849910	1299.33	151993	275	41.69	100	0.72	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B durans
J900	 575 	3215133	5591.54	135969	41685	38.62	100	0.35	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B durans
H105	 52 	2753939	52960.37	170410	59405	37.89	100	0.39	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium
H214	 727 	2827570	3889.37	191513	11742	38.82	100	2.3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium
H58	 480 	2880402	6000.84	263253	32616	38.58	100	0.89	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium
J1001	 397 	2774264	6988.07	109975	17459	38.17	100	0.3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium
R126	 1,307 	2949837	2256.95	64583	330	39.95	100	1.25	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium
CH28	 48 	2752366	57340.96	162326	42269	36.9	100	0.16	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae
CH32	 33 	2863812	86782.18	209538	74819	36.56	100	0.52	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae
J1002	 407 	2829596	6952.32	299691	41556	37.46	100	0.34	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae
J342	 949 	3310207	3488.1	73224	2864	37.26	100	2.6	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae
J905	 783 	2963411	3784.69	221898	17841	38.16	100	0.47	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae
J935	 698 	2973033	4259.36	215460	21198	38.03	100	1.5	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae
K256	 916 	3124516	3411.04	209538	21875	38.04	100	2.03	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae
J451	 1,220 	3165992	2595.08	162326	507	37.62	99.98	3.34	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae
H51	 828 	2948595	3561.1	95839	9714	39.37	100	3.59	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B lactis
J406	 1,264 	2955398	2338.13	112387	319	39.31	100	0.31	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B lactis
CH42	 110 	3237327	29430.25	54875	15270	36.66	100	0.09	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B sp002140175
J1033	 498 	3333191	6693.15	59037	15043	36.8	100	0.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B sp002140175
J852	 771 	3315462	4300.21	67466	13570	37.6	100	0.25	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B sp002140175
J409	 2,332 	3352094	1437.43	151698	275	44.61	99.66	3.97	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_C;s__Enterococcus_C asini
J355	 396 	3440643	8688.49	320280	66592	40.58	100	0.53	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D gallinarum
