name	ko	family	lv2des
PN1GG|k141_173731	K00558	Quimbyviridae	Amino acid metabolism
PN1GG|k141_173731	K00390	Quimbyviridae	Energy metabolism
PN3RE|k141_2423122	K21029	Unclassified	"Folding, sorting and degradation"
PN8RO|k141_1457006	K01784	Siphoviridae	Carbohydrate metabolism
PN8RO|k141_1457006	K00390	Siphoviridae	Energy metabolism
PN16RM|k141_1575150	K01737	Myoviridae	Metabolism of cofactors and vitamins
PN16RM|k141_1575150	K10026	Myoviridae	Metabolism of cofactors and vitamins
PN16RM|k141_1575150	K06920	Myoviridae	Metabolism of cofactors and vitamins
PN16RM|k141_1575150	K06920	Myoviridae	Metabolism of cofactors and vitamins
PN16RM|k141_1575150	K01495	Myoviridae	Metabolism of cofactors and vitamins
PN1RL|k141_1579315	K01495	Siphoviridae	Metabolism of cofactors and vitamins
PN1RL|k141_1579315	K10026	Siphoviridae	Metabolism of cofactors and vitamins
PN1RL|k141_1579315	K01737	Siphoviridae	Metabolism of cofactors and vitamins
PN1RL|k141_1579315	K06920	Siphoviridae	Metabolism of cofactors and vitamins
PN1RL|k141_1579315	K09457	Siphoviridae	Metabolism of cofactors and vitamins
PN14RC|k141_948108	K21029	Podoviridae_crAss-like	"Folding, sorting and degradation"
PN3LD|k141_131447_1	K00390	Unclassified	Energy metabolism
PN2IE|k141_9706_1	K21140	Siphoviridae	"Folding, sorting and degradation"
PN5RE|k141_1064440_1	K00558	Myoviridae	Amino acid metabolism
PN5RE|k141_1064440_1	K00789	Myoviridae	Amino acid metabolism
PN5RE|k141_1064440_1	K06167	Myoviridae	Metabolism of other amino acids
PN8RM|k141_111470	K06167	Myoviridae	Metabolism of other amino acids
PN2GC|k141_362867	K00287	Siphoviridae	Metabolism of cofactors and vitamins
PN9RD|k141_1497500	K00059	Myoviridae	Lipid metabolism
PN1RI|k141_592376	K00390	Unclassified	Energy metabolism
PN7RV|k141_1317608	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN3CA|k141_975960	K00558	Unclassified	Amino acid metabolism
PN7RC|k141_1577550	K00558	Unclassified	Amino acid metabolism
PN16RO|k141_1897774	K00789	Unclassified	Amino acid metabolism
PN3CF|k141_578838	K17487	Siphoviridae	Metabolism of cofactors and vitamins
PN16RA|k141_2621070	K07535	Unclassified	Xenobiotics biodegradation and metabolism
PN5CG|k141_503855	K01186	Siphoviridae	Lipid metabolism
PN3LE|k141_1563052	K00558	Myoviridae	Amino acid metabolism
PN3LE|k141_1563052	K07173	Myoviridae	Amino acid metabolism
PN3LE|k141_1563052	K00558	Myoviridae	Amino acid metabolism
PN3LE|k141_1563052	K17398	Myoviridae	Amino acid metabolism
PN3LE|k141_1563052	K00789	Myoviridae	Amino acid metabolism
PN3LE|k141_1563052	K00954	Myoviridae	Metabolism of cofactors and vitamins
PN3LE|k141_1563052	K00859	Myoviridae	Metabolism of cofactors and vitamins
PN3LE|k141_1563052	K00969	Myoviridae	Metabolism of cofactors and vitamins
PN3LE|k141_1563052	K00763	Myoviridae	Metabolism of cofactors and vitamins
PN7RO|k141_745129	K21029	Unclassified	"Folding, sorting and degradation"
PN13RI|k141_436614	K00558	Myoviridae	Amino acid metabolism
PN13RE|k141_1441106	K06167	Unclassified	Metabolism of other amino acids
PN13RL|k141_17884	K21029	Podoviridae_crAss-like	"Folding, sorting and degradation"
PN13RI|k141_1489596	K00390	Unclassified	Energy metabolism
PN8RF|k141_939232_fragment_1	K02078	Unclassified	Lipid metabolism
PN8RM|k141_544553	K22227	Siphoviridae	Metabolism of cofactors and vitamins
PN8RM|k141_544553	K22227	Siphoviridae	Metabolism of cofactors and vitamins
PN8RM|k141_544553	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN3CG|k141_580688	K13566	Siphoviridae	Amino acid metabolism
PN16RF|k141_854133_1	K01491	Unclassified	Energy metabolism
PN3GB|k141_427642	K01840	Unclassified	Carbohydrate metabolism
PN16RE|k141_1485932	K02858	Siphoviridae	Metabolism of cofactors and vitamins
PN5CC|k141_462799	K00558	Siphoviridae	Amino acid metabolism
PN1RA|k141_4399308	K00059	Siphoviridae	Lipid metabolism
PN14RI|k141_2281360	K00390	Unclassified	Energy metabolism
PN5RE|k141_1021215	K01586	Unclassified	Amino acid metabolism
PN16RP|k141_369104	K00789	Siphoviridae	Amino acid metabolism
PN14RQ|k141_228295	K01916	Myoviridae	Metabolism of cofactors and vitamins
PN14RQ|k141_228295	K03462	Myoviridae	Metabolism of cofactors and vitamins
PN14RQ|k141_228295	K08281	Myoviridae	Metabolism of cofactors and vitamins
PN14RQ|k141_228295	K03273	Myoviridae	Glycan biosynthesis and metabolism
PN14RQ|k141_228295	K00952	Myoviridae	Metabolism of cofactors and vitamins
PN14RQ|k141_228295	K01939	Myoviridae	Nucleotide metabolism
PN14RQ|k141_228295	K00558	Myoviridae	Amino acid metabolism
PN14RQ|k141_228295	K17398	Myoviridae	Amino acid metabolism
PN14RQ|k141_228295	K00558	Myoviridae	Amino acid metabolism
J1071|NODE_7_1	K00558	Siphoviridae	Amino acid metabolism
J1071|NODE_7_1	K00558	Siphoviridae	Amino acid metabolism
PN1GD|k141_209936_1	K06167	Myoviridae	Metabolism of other amino acids
PN14RE|k141_526803	K17398	Unclassified	Amino acid metabolism
PN5CG|k141_541553	K00789	Siphoviridae	Amino acid metabolism
PN11RB|k141_1745864	K00558	Unclassified	Amino acid metabolism
PN11RB|k141_1745864	K00558	Unclassified	Amino acid metabolism
PN4RA|k141_744494	K00390	Myoviridae	Energy metabolism
PN4RA|k141_744494	K00558	Myoviridae	Amino acid metabolism
PN4RA|k141_744494	K00558	Myoviridae	Amino acid metabolism
PN13RQ|k141_1008874	K17398	Siphoviridae	Amino acid metabolism
PN13RF|k141_2338789	K00558	Siphoviridae	Amino acid metabolism
PN13RF|k141_2338789	K00390	Siphoviridae	Energy metabolism
PN11RA|k141_1369902_1	K05396	Myoviridae	Amino acid metabolism
PN11RA|k141_1369902_1	K00789	Myoviridae	Amino acid metabolism
PN11RA|k141_1369902_1	K00558	Myoviridae	Amino acid metabolism
PN11RA|k141_1369902_1	K00558	Myoviridae	Amino acid metabolism
PN14RS|k141_18213	K00287	Siphoviridae	Metabolism of cofactors and vitamins
PN14RS|k141_18213	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN14RS|k141_18213	K00558	Siphoviridae	Amino acid metabolism
PN3CF|k141_1026870	K06167	Siphoviridae	Metabolism of other amino acids
PN3CF|k141_1026870	K01495	Siphoviridae	Metabolism of cofactors and vitamins
PN3CF|k141_1026870	K10026	Siphoviridae	Metabolism of cofactors and vitamins
PN3CF|k141_1026870	K01737	Siphoviridae	Metabolism of cofactors and vitamins
PN3CF|k141_1026870	K06920	Siphoviridae	Metabolism of cofactors and vitamins
PN8RQ|k141_1446964	K02536	Siphoviridae	Glycan biosynthesis and metabolism
PN8RQ|k141_1446964	K17398	Siphoviridae	Amino acid metabolism
PN8RQ|k141_1446964	K01176	Siphoviridae	Carbohydrate metabolism
PN12RE|k141_503003	K00558	Siphoviridae	Amino acid metabolism
PN12RE|k141_503003	K01491	Siphoviridae	Energy metabolism
PN3RG|k141_2451182	K02536	Siphoviridae	Glycan biosynthesis and metabolism
PN6RO|k141_341322	K00973	Myoviridae	Glycan biosynthesis and metabolism
PN6RO|k141_341322	K01710	Myoviridae	Glycan biosynthesis and metabolism
PN6RO|k141_341322	K00067	Myoviridae	Glycan biosynthesis and metabolism
PN6RO|k141_341322	K01784	Myoviridae	Carbohydrate metabolism
PN6RO|k141_341322	K08679	Myoviridae	Carbohydrate metabolism
PN6RO|k141_341322	K08281	Myoviridae	Metabolism of cofactors and vitamins
PN6RO|k141_341322	K01916	Myoviridae	Metabolism of cofactors and vitamins
PN6RO|k141_341322	K00969	Myoviridae	Metabolism of cofactors and vitamins
PN6RO|k141_341322	K00763	Myoviridae	Metabolism of cofactors and vitamins
PN1RI|k141_1028619	K00558	Siphoviridae	Amino acid metabolism
PN14RQ|k141_728187	K22227	Siphoviridae	Metabolism of cofactors and vitamins
PN6RJ|k141_352790	K00558	Unclassified	Amino acid metabolism
PN14RJ|k141_116787	K01737	Unclassified	Metabolism of cofactors and vitamins
PN14RJ|k141_116787	K10026	Unclassified	Metabolism of cofactors and vitamins
PN14RJ|k141_116787	K01495	Unclassified	Metabolism of cofactors and vitamins
PN14RJ|k141_116787	K06920	Unclassified	Metabolism of cofactors and vitamins
PN1RL|k141_2011656	K00390	Siphoviridae	Energy metabolism
PN2RG|k141_303023	K00558	Unclassified	Amino acid metabolism
PN1CI|k141_1129987	K11717	Unclassified	Metabolism of other amino acids
PN8RC|k141_1126702	K00390	Unclassified	Energy metabolism
PN3LA|k141_1470556_1	K06167	Unclassified	Metabolism of other amino acids
PN8RR|k141_1044238	K04487	Siphoviridae	Metabolism of cofactors and vitamins
J658|NODE_31_1	K21140	Siphoviridae	"Folding, sorting and degradation"
PN15RA|k141_264596	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN1CL|k141_1205523	K00390	Unclassified	Energy metabolism
PN14RB|k141_1567631	K03148	Podoviridae_crAss-like	Metabolism of cofactors and vitamins
J1055|NODE_18_1	K00692	Siphoviridae	Carbohydrate metabolism
J1055|NODE_18_1	K00692	Siphoviridae	Carbohydrate metabolism
PN1GE|k141_151069	K01714	Myoviridae	Amino acid metabolism
PN8RK|k141_742574	K00390	Unclassified	Energy metabolism
PN16RE|k141_897890	K01939	Siphoviridae	Nucleotide metabolism
PN16RE|k141_740126	K21029	Siphoviridae	"Folding, sorting and degradation"
PN12RE|k141_616107	K00390	Myoviridae	Energy metabolism
PN1RL|k141_1083441	K00558	Siphoviridae	Amino acid metabolism
PN12RC|k141_1056741	K06167	Myoviridae	Metabolism of other amino acids
PN8RP|k141_1039480_1	K00390	Siphoviridae	Energy metabolism
PN8RC|k141_1126716	K01771	Quimbyviridae	Carbohydrate metabolism
PN8RC|k141_1126716	K00390	Quimbyviridae	Energy metabolism
PN8RC|k141_1126716	K06167	Quimbyviridae	Metabolism of other amino acids
PN3LD|k141_1461319	K00390	Unclassified	Energy metabolism
PN14RE|k141_424524	K00558	Siphoviridae	Amino acid metabolism
PN1JH|k141_34783	K01771	Unclassified	Carbohydrate metabolism
PN7RO|k141_991395	K06167	Unclassified	Metabolism of other amino acids
PN6RO|k141_1663315	K01176	Siphoviridae	Carbohydrate metabolism
PN7RQ|k141_763731	K00789	Siphoviridae	Amino acid metabolism
PN5LF|k141_777765	K01491	Myoviridae	Energy metabolism
PN5LF|k141_777765	K00600	Myoviridae	Carbohydrate metabolism
PN16RN|k141_1183823	K03148	Unclassified	Metabolism of cofactors and vitamins
PN12RA|k141_939738	K21071	Unclassified	Carbohydrate metabolism
PN5JD|k141_341100	K06167	Unclassified	Metabolism of other amino acids
PN8RI|k141_645630	K00390	Unclassified	Energy metabolism
PN8RI|k141_645630	K09882	Unclassified	Metabolism of cofactors and vitamins
PN3CB|k141_1699888_1	K00789	Siphoviridae	Amino acid metabolism
PN5LH|k141_706478	K00789	Myoviridae	Amino acid metabolism
PN5LH|k141_706478	K23144	Myoviridae	Carbohydrate metabolism
PN5LH|k141_706478	K23144	Myoviridae	Carbohydrate metabolism
PN5LH|k141_706478	K23144	Myoviridae	Carbohydrate metabolism
PN5LH|k141_706478	K23144	Myoviridae	Carbohydrate metabolism
PN5LH|k141_706478	K16881	Myoviridae	Carbohydrate metabolism
PN5LH|k141_706478	K23144	Myoviridae	Carbohydrate metabolism
PN5LH|k141_706478	K23144	Myoviridae	Carbohydrate metabolism
PN8RS|k141_1208161	K00558	Siphoviridae	Amino acid metabolism
PN3DG|k141_336931	K00558	Siphoviridae	Amino acid metabolism
PN3CB|k141_2273194	K00789	Siphoviridae	Amino acid metabolism
PN7RL|k141_163462	K00558	Siphoviridae	Amino acid metabolism
PN11RB|k141_1314947	K01270	Quimbyviridae	Metabolism of other amino acids
PN1LG|k141_219046	K00558	Siphoviridae	Amino acid metabolism
PN14RJ|k141_691800	K21029	Podoviridae_crAss-like	"Folding, sorting and degradation"
PN1RK|k141_1479116	K03148	Unclassified	Metabolism of cofactors and vitamins
PN5LC|k141_789384	K00558	Siphoviridae	Amino acid metabolism
PN13RN|k141_441170	K00558	Siphoviridae	Amino acid metabolism
PN11RO|k141_542143	K16150	Siphoviridae	Carbohydrate metabolism
PN8RJ|k141_14961	K01939	Siphoviridae	Nucleotide metabolism
PN8RG|k141_207448	K00558	Unclassified	Amino acid metabolism
PN8RS|k141_186621	K21029	Unclassified	"Folding, sorting and degradation"
PN11RF|k141_2326392	K17398	Siphoviridae	Amino acid metabolism
PN16RR|k141_742103	K07404	Myoviridae	Carbohydrate metabolism
PN16RR|k141_742103	K21029	Myoviridae	"Folding, sorting and degradation"
PN16RR|k141_742103	K01491	Myoviridae	Energy metabolism
PN16RR|k141_742103	K00390	Myoviridae	Energy metabolism
PN14RD|k141_107776	K00558	Unclassified	Amino acid metabolism
PN14RD|k141_107776	K17398	Unclassified	Amino acid metabolism
PN13RC|k141_1000080	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN5CG|k141_205254_1	K00789	Siphoviridae	Amino acid metabolism
PN10RH|k141_81112	K02120	Unclassified	Energy metabolism
PN10RH|k141_81112	K00558	Unclassified	Amino acid metabolism
PN15RE|k141_462058	K00390	Unclassified	Energy metabolism
PN5LH|k141_240859	K06920	Siphoviridae	Metabolism of cofactors and vitamins
PN9RJ|k141_1111314	K00558	Siphoviridae	Amino acid metabolism
PN9RJ|k141_1111314	K00789	Siphoviridae	Amino acid metabolism
PN14RN|k141_885320	K00558	Siphoviridae	Amino acid metabolism
PN14RN|k141_885320	K00789	Siphoviridae	Amino acid metabolism
PN14RN|k141_885320	K00558	Siphoviridae	Amino acid metabolism
PN5LC|k141_459409_1	K00390	Myoviridae	Energy metabolism
PN8RC|k141_1034246_1	K02847	Siphoviridae	Glycan biosynthesis and metabolism
PN13RI|k141_856361	K22227	Unclassified	Metabolism of cofactors and vitamins
PN5RC|k141_307259	K09882	Siphoviridae	Metabolism of cofactors and vitamins
PN5IA|k141_61578	K00558	Myoviridae	Amino acid metabolism
PN5IA|k141_61578	K00558	Myoviridae	Amino acid metabolism
PN5IA|k141_61578	K00558	Myoviridae	Amino acid metabolism
PN5RA|k141_76159	K00558	Siphoviridae	Amino acid metabolism
PN16RI|k141_199106	K09882	Unclassified	Metabolism of cofactors and vitamins
PN1RB|k141_976234	K00558	Siphoviridae	Amino acid metabolism
PN3RD|k141_2098054	K00390	Siphoviridae	Energy metabolism
PN7RO|k141_171157	K00390	Unclassified	Energy metabolism
PN7RP|k141_157353	K00558	Unclassified	Amino acid metabolism
PN14RH|k141_891240	K01771	Quimbyviridae	Carbohydrate metabolism
PN8RG|k141_894389	K00390	Unclassified	Energy metabolism
PN13RH|k141_1741527	K00558	Unclassified	Amino acid metabolism
PN1CL|k141_922695	K06920	Myoviridae	Metabolism of cofactors and vitamins
PN1CL|k141_922695	K01495	Myoviridae	Metabolism of cofactors and vitamins
PN1CL|k141_922695	K10026	Myoviridae	Metabolism of cofactors and vitamins
PN1CL|k141_922695	K01737	Myoviridae	Metabolism of cofactors and vitamins
J146|NODE_19_1	K21140	Siphoviridae	"Folding, sorting and degradation"
PN13RN|k141_1083873	K00390	Unclassified	Energy metabolism
PN13RR|k141_1607824	K00390	Myoviridae	Energy metabolism
PN13RR|k141_1607824	K00012	Myoviridae	Carbohydrate metabolism
PN13RR|k141_1607824	K16150	Myoviridae	Carbohydrate metabolism
PN5CA|k141_547123	K00390	Unclassified	Energy metabolism
PN3RD|k141_85612	K21029	Siphoviridae	"Folding, sorting and degradation"
PN6RC|k141_247133	K00789	Myoviridae	Amino acid metabolism
PN6RC|k141_247133	K00568	Myoviridae	Metabolism of cofactors and vitamins
PN13RK|k141_1590112	K00558	Unclassified	Amino acid metabolism
PN13RU|k141_1368068	K00789	Siphoviridae	Amino acid metabolism
PN3JE|k141_1973	K03148	Unclassified	Metabolism of cofactors and vitamins
PN7RL|k141_547223_1	K00558	Siphoviridae	Amino acid metabolism
PN7RL|k141_547223_1	K00558	Siphoviridae	Amino acid metabolism
PN7RL|k141_547223_1	K01939	Siphoviridae	Nucleotide metabolism
PN13RK|k141_2072439	K00558	Myoviridae	Amino acid metabolism
PN11RL|k141_477086	K10536	Unclassified	Amino acid metabolism
PN6RD|k141_1018786	K03462	Podoviridae_crAss-like	Metabolism of cofactors and vitamins
PN6RD|k141_1018786	K00820	Podoviridae_crAss-like	Carbohydrate metabolism
PN16RP|k141_1067896	K00390	Unclassified	Energy metabolism
PN3LH|k141_2480863	K11261	Unclassified	Energy metabolism
PN3RE|k141_1116381_1	K17398	Siphoviridae	Amino acid metabolism
PN6RH|k141_1965642	K00390	Siphoviridae	Energy metabolism
PN6RH|k141_1965642	K00789	Siphoviridae	Amino acid metabolism
PN15RN|k141_148698	K00600	Siphoviridae	Carbohydrate metabolism
PN3JD|k141_113252	K00558	Siphoviridae	Amino acid metabolism
PN10RA|k141_70410	K00558	Unclassified	Amino acid metabolism
PN10RA|k141_70410	K06167	Unclassified	Metabolism of other amino acids
PN1LI|k141_127257	K00789	Unclassified	Amino acid metabolism
PN3CF|k141_1016325_1	K21029	Unclassified	"Folding, sorting and degradation"
PN3RG|k141_2161459	K00558	Unclassified	Amino acid metabolism
PN7RF|k141_1694725	K00558	Unclassified	Amino acid metabolism
PN14RQ|k141_1509909	K00789	Siphoviridae	Amino acid metabolism
PN14RQ|k141_1509909	K00558	Siphoviridae	Amino acid metabolism
PN8RE|k141_821956	K00558	Siphoviridae	Amino acid metabolism
PN8RE|k141_821956	K00789	Siphoviridae	Amino acid metabolism
PN16RC|k141_1828163_1	K00558	Siphoviridae	Amino acid metabolism
PN16RC|k141_1828163_1	K00789	Siphoviridae	Amino acid metabolism
PN14RK|k141_1047793	K21029	Unclassified	"Folding, sorting and degradation"
PN15RB|k141_812346	K14157	Unclassified	Amino acid metabolism
PN8RF|k141_1171496	K00558	Unclassified	Amino acid metabolism
PN8RF|k141_1171496	K00558	Unclassified	Amino acid metabolism
PN13RS|k141_971043	K00558	Siphoviridae	Amino acid metabolism
PN11RD|k141_1323997	K00558	Siphoviridae	Amino acid metabolism
PN5RE|k141_403395	K00558	Unclassified	Amino acid metabolism
G129|NODE_2	K00558	Myoviridae	Amino acid metabolism
PN10RM|k141_1003596	K01208	Siphoviridae	Carbohydrate metabolism
PN10RM|k141_1003596	K00558	Siphoviridae	Amino acid metabolism
PN10RM|k141_1003596	K00558	Siphoviridae	Amino acid metabolism
PN8RJ|k141_1061284	K00789	Unclassified	Amino acid metabolism
PN6RI|k141_817900	K00789	Myoviridae	Amino acid metabolism
PN6RI|k141_817900	K00558	Myoviridae	Amino acid metabolism
PN1RI|k141_292079	K23144	Siphoviridae	Carbohydrate metabolism
PN7RL|k141_980755	K00390	Unclassified	Energy metabolism
PN1CG|k141_655731	K00390	Siphoviridae	Energy metabolism
PN1CG|k141_655731	K00558	Siphoviridae	Amino acid metabolism
PN1CG|k141_655731	K01491	Siphoviridae	Energy metabolism
PN13RG|k141_1161589	K00789	Unclassified	Amino acid metabolism
J339|NODE_1_1	K00558	Siphoviridae	Amino acid metabolism
PN12RH|k141_43049	K00969	Myoviridae	Metabolism of cofactors and vitamins
PN12RH|k141_43049	K00763	Myoviridae	Metabolism of cofactors and vitamins
PN12RH|k141_43049	K01916	Myoviridae	Metabolism of cofactors and vitamins
PN12RH|k141_43049	K08281	Myoviridae	Metabolism of cofactors and vitamins
PN3CB|k141_1756760	K01737	Myoviridae	Metabolism of cofactors and vitamins
PN3CB|k141_1756760	K10026	Myoviridae	Metabolism of cofactors and vitamins
PN3CB|k141_1756760	K06920	Myoviridae	Metabolism of cofactors and vitamins
PN3CB|k141_1756760	K01495	Myoviridae	Metabolism of cofactors and vitamins
PN13RO|k141_1004832	K00558	Siphoviridae	Amino acid metabolism
PN5LH|k141_674212	K00390	Quimbyviridae	Energy metabolism
PN8RD|k141_389804	K05396	Siphoviridae	Amino acid metabolism
PN1GJ|k141_182730	K00558	Siphoviridae	Amino acid metabolism
PN4RE|k141_1839952_1	K04487	Myoviridae	Metabolism of cofactors and vitamins
PN4RE|k141_1839952_1	K00390	Myoviridae	Energy metabolism
PN16RN|k141_946235	K19668	Siphoviridae	Carbohydrate metabolism
PN8RE|k141_301047	K00390	Siphoviridae	Energy metabolism
PN5LG|k141_307343	K00700	Unclassified	Carbohydrate metabolism
PN14RG|k141_839316	K00558	Quimbyviridae	Amino acid metabolism
PN7RK|k141_770562	K17398	Siphoviridae	Amino acid metabolism
PN7RK|k141_770562	K01176	Siphoviridae	Carbohydrate metabolism
PN8RS|k141_1560205	K00558	Unclassified	Amino acid metabolism
PN8RS|k141_1560205	K00558	Unclassified	Amino acid metabolism
PN7RU|k141_951721	K00789	Unclassified	Amino acid metabolism
PN13RL|k141_1316725	K01176	Siphoviridae	Carbohydrate metabolism
PN3CF|k141_1564340	K04487	Siphoviridae	Metabolism of cofactors and vitamins
PN3CF|k141_1564340	K01916	Siphoviridae	Metabolism of cofactors and vitamins
PN3CF|k141_1564340	K03462	Siphoviridae	Metabolism of cofactors and vitamins
PN3CF|k141_1564340	K08281	Siphoviridae	Metabolism of cofactors and vitamins
PN3CF|k141_1564340	K21029	Siphoviridae	"Folding, sorting and degradation"
PN3CF|k141_1564340	K00390	Siphoviridae	Energy metabolism
PN9RQ|k141_893481	K01939	Myoviridae	Nucleotide metabolism
PN9RQ|k141_893481	K00558	Myoviridae	Amino acid metabolism
PN11RD|k141_2592006	K06167	Unclassified	Metabolism of other amino acids
PN14RG|k141_808656	K00764	Podoviridae_crAss-like	Nucleotide metabolism
PN14RG|k141_808656	K06896	Podoviridae_crAss-like	Carbohydrate metabolism
PN13RO|k141_613435	K00558	Siphoviridae	Amino acid metabolism
PN7RH|k141_1263463	K01916	Siphoviridae	Metabolism of cofactors and vitamins
PN7RH|k141_1263463	K00657	Siphoviridae	Amino acid metabolism
PN7RH|k141_1263463	K00262	Siphoviridae	Energy metabolism
PN5RE|k141_807699	K00390	Quimbyviridae	Energy metabolism
PN5RE|k141_807699	K06167	Quimbyviridae	Metabolism of other amino acids
PN2RG|k141_499345	K03275	Unclassified	Glycan biosynthesis and metabolism
PN4RC|k141_1297131	K09482	Unclassified	Translation
PN6RJ|k141_63654_1	K00789	Siphoviridae	Amino acid metabolism
PN13RQ|k141_1743510	K01218	Unclassified	Carbohydrate metabolism
PN11RL|k141_2405609_1	K00390	Unclassified	Energy metabolism
PN7RI|k141_385675	K02536	Unclassified	Glycan biosynthesis and metabolism
PN3DG|k141_21187	K03462	Siphoviridae	Metabolism of cofactors and vitamins
PN3DG|k141_21187	K01491	Siphoviridae	Energy metabolism
PN10RB|k141_452325	K00390	Siphoviridae	Energy metabolism
PN8RK|k141_941836	K03148	Podoviridae_crAss-like	Metabolism of cofactors and vitamins
PN13RR|k141_180664	K00558	Siphoviridae	Amino acid metabolism
PN16RH|k141_2020249	K00558	Unclassified	Amino acid metabolism
PN14RJ|k141_1453792	K00390	Unclassified	Energy metabolism
PN1RK|k141_2812414	K00600	Siphoviridae	Carbohydrate metabolism
PN8RE|k141_726832_1	K00789	Siphoviridae	Amino acid metabolism
PN8RO|k141_367191	K08281	Podoviridae_crAss-like	Metabolism of cofactors and vitamins
PN8RO|k141_367191	K03273	Podoviridae_crAss-like	Glycan biosynthesis and metabolism
PN13RR|k141_402650	K01939	Siphoviridae	Nucleotide metabolism
PN13RR|k141_402650	K17398	Siphoviridae	Amino acid metabolism
PN5RC|k141_171554	K09883	Siphoviridae	Metabolism of cofactors and vitamins
PN1CE|k141_245517_1	K00558	Siphoviridae	Amino acid metabolism
PN1CE|k141_245517_1	K00789	Siphoviridae	Amino acid metabolism
