lvA	lvB	lvC	n
Brite Hierarchies	Protein families: signaling and cellular processes	GTP-binding proteins [BR:ko04031]	123
Brite Hierarchies	Protein families: signaling and cellular processes	Glycosaminoglycan binding proteins [BR:ko00536]	72
Brite Hierarchies	Protein families: signaling and cellular processes	Glycosylphosphatidylinositol (GPI)-anchored proteins [BR:ko00537]	43
Brite Hierarchies	Protein families: signaling and cellular processes	Ion channels [BR:ko04040]	135
Brite Hierarchies	Protein families: signaling and cellular processes	Lectins [BR:ko04091]	40
Brite Hierarchies	Protein families: signaling and cellular processes	Nuclear receptors [BR:ko03310]	15
Brite Hierarchies	Protein families: signaling and cellular processes	Pattern recognition receptors [BR:ko04054]	18
Brite Hierarchies	Protein families: signaling and cellular processes	Prokaryotic defense system [BR:ko02048]	157
Brite Hierarchies	Protein families: signaling and cellular processes	Proteoglycans [BR:ko00535]	25
Brite Hierarchies	Protein families: signaling and cellular processes	Secretion system [BR:ko02044]	358
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	1694
Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	257
Brite Hierarchies	Viral protein families	Viral fusion proteins [BR:ko03210]	4
Brite Hierarchies	Viral protein families	Viral proteins [BR:ko03200]	10
Cellular Processes	Cell growth and death	Apoptosis - fly [PATH:ko04214]	41
Cellular Processes	Cell growth and death	Apoptosis - multiple species [PATH:ko04215]	16
Cellular Processes	Cell growth and death	Apoptosis [PATH:ko04210]	65
Cellular Processes	Cell growth and death	Cell cycle - Caulobacter [PATH:ko04112]	28
Cellular Processes	Cell growth and death	Cell cycle - yeast [PATH:ko04111]	124
Cellular Processes	Cell growth and death	Cell cycle [PATH:ko04110]	111
Cellular Processes	Cell growth and death	Cellular senescence [PATH:ko04218]	84
Cellular Processes	Cell growth and death	Ferroptosis [PATH:ko04216]	28
Cellular Processes	Cell growth and death	Meiosis - yeast [PATH:ko04113]	103
Cellular Processes	Cell growth and death	Necroptosis [PATH:ko04217]	60
Cellular Processes	Cell growth and death	Oocyte meiosis [PATH:ko04114]	68
Cellular Processes	Cell growth and death	p53 signaling pathway [PATH:ko04115]	44
Cellular Processes	Cell motility	Bacterial chemotaxis [PATH:ko02030]	26
Cellular Processes	Cell motility	Flagellar assembly [PATH:ko02040]	55
Cellular Processes	Cell motility	Motor proteins [PATH:ko04814]	88
Cellular Processes	Cell motility	Regulation of actin cytoskeleton [PATH:ko04810]	110
Cellular Processes	Cellular community - eukaryotes	Adherens junction [PATH:ko04520]	55
Cellular Processes	Cellular community - eukaryotes	Focal adhesion [PATH:ko04510]	101
Cellular Processes	Cellular community - eukaryotes	Gap junction [PATH:ko04540]	42
Cellular Processes	Cellular community - eukaryotes	Signaling pathways regulating pluripotency of stem cells [PATH:ko04550]	68
Cellular Processes	Cellular community - eukaryotes	Tight junction [PATH:ko04530]	79
Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli [PATH:ko02026]	50
Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	81
Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Vibrio cholerae [PATH:ko05111]	85
Cellular Processes	Cellular community - prokaryotes	Quorum sensing [PATH:ko02024]	225
Cellular Processes	Transport and catabolism	Autophagy - animal [PATH:ko04140]	91
Cellular Processes	Transport and catabolism	Autophagy - other [PATH:ko04136]	23
Cellular Processes	Transport and catabolism	Autophagy - yeast [PATH:ko04138]	82
Cellular Processes	Transport and catabolism	Endocytosis [PATH:ko04144]	140
Cellular Processes	Transport and catabolism	Lysosome [PATH:ko04142]	94
Cellular Processes	Transport and catabolism	Mitophagy - animal [PATH:ko04137]	49
Cellular Processes	Transport and catabolism	Mitophagy - yeast [PATH:ko04139]	34
Cellular Processes	Transport and catabolism	Peroxisome [PATH:ko04146]	67
Cellular Processes	Transport and catabolism	Phagosome [PATH:ko04145]	70
Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	489
Environmental Information Processing	Membrane transport	Bacterial secretion system [PATH:ko03070]	72
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	72
Environmental Information Processing	Signal transduction	AMPK signaling pathway [PATH:ko04152]	62
Environmental Information Processing	Signal transduction	Apelin signaling pathway [PATH:ko04371]	66
Environmental Information Processing	Signal transduction	Calcium signaling pathway [PATH:ko04020]	94
Environmental Information Processing	Signal transduction	ErbB signaling pathway [PATH:ko04012]	44
Environmental Information Processing	Signal transduction	FoxO signaling pathway [PATH:ko04068]	71
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway [PATH:ko04066]	55
Environmental Information Processing	Signal transduction	Hedgehog signaling pathway - fly [PATH:ko04341]	25
Environmental Information Processing	Signal transduction	Hedgehog signaling pathway [PATH:ko04340]	29
Environmental Information Processing	Signal transduction	Hippo signaling pathway - fly [PATH:ko04391]	48
Environmental Information Processing	Signal transduction	Hippo signaling pathway - multiple species [PATH:ko04392]	20
Environmental Information Processing	Signal transduction	Hippo signaling pathway [PATH:ko04390]	76
Environmental Information Processing	Signal transduction	JAK-STAT signaling pathway [PATH:ko04630]	35
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly [PATH:ko04013]	71
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant [PATH:ko04016]	45
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast [PATH:ko04011]	90
Environmental Information Processing	Signal transduction	MAPK signaling pathway [PATH:ko04010]	138
Environmental Information Processing	Signal transduction	NF-kappa B signaling pathway [PATH:ko04064]	40
Environmental Information Processing	Signal transduction	Notch signaling pathway [PATH:ko04330]	26
Environmental Information Processing	Signal transduction	PI3K-Akt signaling pathway [PATH:ko04151]	136
Environmental Information Processing	Signal transduction	Phosphatidylinositol signaling system [PATH:ko04070]	51
Environmental Information Processing	Signal transduction	Phospholipase D signaling pathway [PATH:ko04072]	59
Environmental Information Processing	Signal transduction	Plant hormone signal transduction [PATH:ko04075]	43
Environmental Information Processing	Signal transduction	Rap1 signaling pathway [PATH:ko04015]	93
Environmental Information Processing	Signal transduction	Ras signaling pathway [PATH:ko04014]	99
Environmental Information Processing	Signal transduction	Sphingolipid signaling pathway [PATH:ko04071]	61
Environmental Information Processing	Signal transduction	TGF-beta signaling pathway [PATH:ko04350]	51
Environmental Information Processing	Signal transduction	TNF signaling pathway [PATH:ko04668]	49
Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	472
Environmental Information Processing	Signal transduction	VEGF signaling pathway [PATH:ko04370]	31
Environmental Information Processing	Signal transduction	Wnt signaling pathway [PATH:ko04310]	75
Environmental Information Processing	Signal transduction	cAMP signaling pathway [PATH:ko04024]	90
Environmental Information Processing	Signal transduction	cGMP-PKG signaling pathway [PATH:ko04022]	68
Environmental Information Processing	Signal transduction	mTOR signaling pathway [PATH:ko04150]	94
Environmental Information Processing	Signaling molecules and interaction	Cell adhesion molecules [PATH:ko04514]	35
Environmental Information Processing	Signaling molecules and interaction	Cytokine-cytokine receptor interaction [PATH:ko04060]	34
Environmental Information Processing	Signaling molecules and interaction	ECM-receptor interaction [PATH:ko04512]	37
Environmental Information Processing	Signaling molecules and interaction	Neuroactive ligand-receptor interaction [PATH:ko04080]	70
Environmental Information Processing	Signaling molecules and interaction	Viral protein interaction with cytokine and cytokine receptor [PATH:ko04061]	6
Genetic Information Processing	"Folding, sorting and degradation"	Proteasome [PATH:ko03050]	44
Genetic Information Processing	"Folding, sorting and degradation"	Protein export [PATH:ko03060]	38
Genetic Information Processing	"Folding, sorting and degradation"	Protein processing in endoplasmic reticulum [PATH:ko04141]	133
Genetic Information Processing	"Folding, sorting and degradation"	RNA degradation [PATH:ko03018]	79
Genetic Information Processing	"Folding, sorting and degradation"	SNARE interactions in vesicular transport [PATH:ko04130]	26
Genetic Information Processing	"Folding, sorting and degradation"	Sulfur relay system [PATH:ko04122]	29
Genetic Information Processing	"Folding, sorting and degradation"	Ubiquitin mediated proteolysis [PATH:ko04120]	114
Genetic Information Processing	Chromosome	ATP-dependent chromatin remodeling [PATH:ko03082]	76
Genetic Information Processing	Chromosome	Polycomb repressive complex [PATH:ko03083]	46
Genetic Information Processing	Information processing in viruses	Viral life cycle - HIV-1 [PATH:ko03250]	38
Genetic Information Processing	Information processing in viruses	Viral replication [PATH:ko03240]	1
Genetic Information Processing	Information processing in viruses	Virion - Adenovirus [PATH:ko03267]	1
Genetic Information Processing	Information processing in viruses	Virion - Flavivirus [PATH:ko03264]	2
Genetic Information Processing	Information processing in viruses	Virion - Herpesvirus [PATH:ko03266]	4
Genetic Information Processing	Information processing in viruses	Virion - Human immunodeficiency virus [PATH:ko03260]	2
Genetic Information Processing	Information processing in viruses	Virion - Lyssavirus [PATH:ko03265]	1
Genetic Information Processing	Information processing in viruses	Virion - Orthopoxvirus [PATH:ko03268]	1
Genetic Information Processing	Replication and repair	Base excision repair [PATH:ko03410]	49
Genetic Information Processing	Replication and repair	DNA replication [PATH:ko03030]	59
Genetic Information Processing	Replication and repair	Fanconi anemia pathway [PATH:ko03460]	43
Genetic Information Processing	Replication and repair	Homologous recombination [PATH:ko03440]	67
Genetic Information Processing	Replication and repair	Mismatch repair [PATH:ko03430]	43
Genetic Information Processing	Replication and repair	Non-homologous end-joining [PATH:ko03450]	17
Genetic Information Processing	Replication and repair	Nucleotide excision repair [PATH:ko03420]	60
Genetic Information Processing	Transcription	Basal transcription factors [PATH:ko03022]	36
Genetic Information Processing	Transcription	RNA polymerase [PATH:ko03020]	54
Genetic Information Processing	Transcription	Spliceosome [PATH:ko03040]	115
Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis [PATH:ko00970]	44
Genetic Information Processing	Translation	Nucleocytoplasmic transport [PATH:ko03013]	95
Genetic Information Processing	Translation	Ribosome [PATH:ko03010]	135
Genetic Information Processing	Translation	Ribosome biogenesis in eukaryotes [PATH:ko03008]	75
Genetic Information Processing	Translation	mRNA surveillance pathway [PATH:ko03015]	62
Human Diseases	Cancer: overview	Central carbon metabolism in cancer [PATH:ko05230]	40
Human Diseases	Cancer: overview	Chemical carcinogenesis - DNA adducts [PATH:ko05204]	13
Human Diseases	Cancer: overview	Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]	142
Human Diseases	Cancer: overview	Chemical carcinogenesis - receptor activation [PATH:ko05207]	75
Human Diseases	Cancer: overview	Choline metabolism in cancer [PATH:ko05231]	48
Human Diseases	Cancer: overview	MicroRNAs in cancer [PATH:ko05206]	99
Human Diseases	Cancer: overview	PD-L1 expression and PD-1 checkpoint pathway in cancer [PATH:ko05235]	40
Human Diseases	Cancer: overview	Pathways in cancer [PATH:ko05200]	229
Human Diseases	Cancer: overview	Proteoglycans in cancer [PATH:ko05205]	112
Human Diseases	Cancer: overview	Transcriptional misregulation in cancer [PATH:ko05202]	79
Human Diseases	Cancer: overview	Viral carcinogenesis [PATH:ko05203]	100
Human Diseases	Cancer: specific types	Acute myeloid leukemia [PATH:ko05221]	30
Human Diseases	Cancer: specific types	Basal cell carcinoma [PATH:ko05217]	33
Human Diseases	Cancer: specific types	Bladder cancer [PATH:ko05219]	24
Human Diseases	Cancer: specific types	Breast cancer [PATH:ko05224]	66
Human Diseases	Cancer: specific types	Chronic myeloid leukemia [PATH:ko05220]	42
Human Diseases	Cancer: specific types	Colorectal cancer [PATH:ko05210]	47
Human Diseases	Cancer: specific types	Endometrial cancer [PATH:ko05213]	33
Human Diseases	Cancer: specific types	Gastric cancer [PATH:ko05226]	69
Human Diseases	Cancer: specific types	Glioma [PATH:ko05214]	38
Human Diseases	Cancer: specific types	Hepatocellular carcinoma [PATH:ko05225]	84
Human Diseases	Cancer: specific types	Melanoma [PATH:ko05218]	30
Human Diseases	Cancer: specific types	Non-small cell lung cancer [PATH:ko05223]	41
Human Diseases	Cancer: specific types	Pancreatic cancer [PATH:ko05212]	43
Human Diseases	Cancer: specific types	Prostate cancer [PATH:ko05215]	51
Human Diseases	Cancer: specific types	Renal cell carcinoma [PATH:ko05211]	41
Human Diseases	Cancer: specific types	Small cell lung cancer [PATH:ko05222]	51
Human Diseases	Cancer: specific types	Thyroid cancer [PATH:ko05216]	22
Human Diseases	Cardiovascular disease	Arrhythmogenic right ventricular cardiomyopathy [PATH:ko05412]	40
Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy [PATH:ko05415]	130
Human Diseases	Cardiovascular disease	Dilated cardiomyopathy [PATH:ko05414]	47
Human Diseases	Cardiovascular disease	Fluid shear stress and atherosclerosis [PATH:ko05418]	57
Human Diseases	Cardiovascular disease	Hypertrophic cardiomyopathy [PATH:ko05410]	42
Human Diseases	Cardiovascular disease	Lipid and atherosclerosis [PATH:ko05417]	87
Human Diseases	Cardiovascular disease	Viral myocarditis [PATH:ko05416]	22
Human Diseases	Drug resistance: antimicrobial	Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]	50
Human Diseases	Drug resistance: antimicrobial	Vancomycin resistance [PATH:ko01502]	22
Human Diseases	Drug resistance: antimicrobial	beta-Lactam resistance [PATH:ko01501]	69
Human Diseases	Drug resistance: antineoplastic	Antifolate resistance [PATH:ko01523]	20
Human Diseases	Drug resistance: antineoplastic	EGFR tyrosine kinase inhibitor resistance [PATH:ko01521]	41
Human Diseases	Drug resistance: antineoplastic	Endocrine resistance [PATH:ko01522]	51
Human Diseases	Drug resistance: antineoplastic	Platinum drug resistance [PATH:ko01524]	32
Human Diseases	Endocrine and metabolic disease	AGE-RAGE signaling pathway in diabetic complications [PATH:ko04933]	44
Human Diseases	Endocrine and metabolic disease	Alcoholic liver disease [PATH:ko04936]	54
Human Diseases	Endocrine and metabolic disease	Cushing syndrome [PATH:ko04934]	81
Human Diseases	Endocrine and metabolic disease	Insulin resistance [PATH:ko04931]	52
Human Diseases	Endocrine and metabolic disease	Maturity onset diabetes of the young [PATH:ko04950]	7
Human Diseases	Endocrine and metabolic disease	Non-alcoholic fatty liver disease [PATH:ko04932]	90
Human Diseases	Endocrine and metabolic disease	Type I diabetes mellitus [PATH:ko04940]	10
Human Diseases	Endocrine and metabolic disease	Type II diabetes mellitus [PATH:ko04930]	20
Human Diseases	Immune disease	Allograft rejection [PATH:ko05330]	6
Human Diseases	Immune disease	Asthma [PATH:ko05310]	3
Human Diseases	Immune disease	Autoimmune thyroid disease [PATH:ko05320]	7
Human Diseases	Immune disease	Graft-versus-host disease [PATH:ko05332]	5
Human Diseases	Immune disease	Inflammatory bowel disease [PATH:ko05321]	8
Human Diseases	Immune disease	Primary immunodeficiency [PATH:ko05340]	11
Human Diseases	Immune disease	Rheumatoid arthritis [PATH:ko05323]	25
Human Diseases	Immune disease	Systemic lupus erythematosus [PATH:ko05322]	14
Human Diseases	Infectious disease: bacterial	Bacterial invasion of epithelial cells [PATH:ko05100]	57
Human Diseases	Infectious disease: bacterial	Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120]	50
Human Diseases	Infectious disease: bacterial	Legionellosis [PATH:ko05134]	32
Human Diseases	Infectious disease: bacterial	Pathogenic Escherichia coli infection [PATH:ko05130]	103
Human Diseases	Infectious disease: bacterial	Pertussis [PATH:ko05133]	36
Human Diseases	Infectious disease: bacterial	Salmonella infection [PATH:ko05132]	145
Human Diseases	Infectious disease: bacterial	Shigellosis [PATH:ko05131]	135
Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection [PATH:ko05150]	38
Human Diseases	Infectious disease: bacterial	Tuberculosis [PATH:ko05152]	72
Human Diseases	Infectious disease: bacterial	Vibrio cholerae infection [PATH:ko05110]	40
Human Diseases	Infectious disease: bacterial	Yersinia infection [PATH:ko05135]	76
Human Diseases	Infectious disease: parasitic	African trypanosomiasis [PATH:ko05143]	14
Human Diseases	Infectious disease: parasitic	Amoebiasis [PATH:ko05146]	41
Human Diseases	Infectious disease: parasitic	Chagas disease [PATH:ko05142]	40
Human Diseases	Infectious disease: parasitic	Leishmaniasis [PATH:ko05140]	29
Human Diseases	Infectious disease: parasitic	Malaria [PATH:ko05144]	14
Human Diseases	Infectious disease: parasitic	Toxoplasmosis [PATH:ko05145]	45
Human Diseases	Infectious disease: viral	Coronavirus disease - COVID-19 [PATH:ko05171]	129
Human Diseases	Infectious disease: viral	Epstein-Barr virus infection [PATH:ko05169]	102
Human Diseases	Infectious disease: viral	Hepatitis B [PATH:ko05161]	76
Human Diseases	Infectious disease: viral	Hepatitis C [PATH:ko05160]	66
Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection [PATH:ko05168]	73
Human Diseases	Infectious disease: viral	Human T-cell leukemia virus 1 infection [PATH:ko05166]	112
Human Diseases	Infectious disease: viral	Human cytomegalovirus infection [PATH:ko05163]	98
Human Diseases	Infectious disease: viral	Human immunodeficiency virus 1 infection [PATH:ko05170]	103
Human Diseases	Infectious disease: viral	Human papillomavirus infection [PATH:ko05165]	161
Human Diseases	Infectious disease: viral	Influenza A [PATH:ko05164]	66
Human Diseases	Infectious disease: viral	Kaposi sarcoma-associated herpesvirus infection [PATH:ko05167]	80
Human Diseases	Infectious disease: viral	Measles [PATH:ko05162]	59
Human Diseases	Neurodegenerative disease	Alzheimer disease [PATH:ko05010]	245
Human Diseases	Neurodegenerative disease	Amyotrophic lateral sclerosis [PATH:ko05014]	241
Human Diseases	Neurodegenerative disease	Huntington disease [PATH:ko05016]	200
Human Diseases	Neurodegenerative disease	Parkinson disease [PATH:ko05012]	186
Human Diseases	Neurodegenerative disease	Pathways of neurodegeneration - multiple diseases [PATH:ko05022]	296
Human Diseases	Neurodegenerative disease	Prion disease [PATH:ko05020]	168
Human Diseases	Neurodegenerative disease	Spinocerebellar ataxia [PATH:ko05017]	99
Human Diseases	Substance dependence	Alcoholism [PATH:ko05034]	53
Human Diseases	Substance dependence	Amphetamine addiction [PATH:ko05031]	32
Human Diseases	Substance dependence	Cocaine addiction [PATH:ko05030]	23
Human Diseases	Substance dependence	Morphine addiction [PATH:ko05032]	37
Human Diseases	Substance dependence	Nicotine addiction [PATH:ko05033]	11
Metabolism	Amino acid metabolism	"Alanine, aspartate and glutamate metabolism [PATH:ko00250]"	66
Metabolism	Amino acid metabolism	"Glycine, serine and threonine metabolism [PATH:ko00260]"	104
Metabolism	Amino acid metabolism	"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	70
Metabolism	Amino acid metabolism	"Valine, leucine and isoleucine biosynthesis [PATH:ko00290]"	17
Metabolism	Amino acid metabolism	"Valine, leucine and isoleucine degradation [PATH:ko00280]"	65
Metabolism	Amino acid metabolism	Arginine and proline metabolism [PATH:ko00330]	98
Metabolism	Amino acid metabolism	Arginine biosynthesis [PATH:ko00220]	57
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	117
Metabolism	Amino acid metabolism	Histidine metabolism [PATH:ko00340]	44
Metabolism	Amino acid metabolism	Lysine biosynthesis [PATH:ko00300]	47
Metabolism	Amino acid metabolism	Lysine degradation [PATH:ko00310]	90
Metabolism	Amino acid metabolism	Phenylalanine metabolism [PATH:ko00360]	65
Metabolism	Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	64
Metabolism	Amino acid metabolism	Tyrosine metabolism [PATH:ko00350]	71
Metabolism	Biosynthesis of other secondary metabolites	"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]"	11
Metabolism	Biosynthesis of other secondary metabolites	"Stilbenoid, diarylheptanoid and gingerol biosynthesis [PATH:ko00945]"	6
Metabolism	Biosynthesis of other secondary metabolites	"Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]"	21
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis [PATH:ko00525]	16
Metabolism	Biosynthesis of other secondary metabolites	Aflatoxin biosynthesis [PATH:ko00254]	16
Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis [PATH:ko00942]	3
Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis [PATH:ko00402]	8
Metabolism	Biosynthesis of other secondary metabolites	Betalain biosynthesis [PATH:ko00965]	5
Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various alkaloids [PATH:ko00996]	4
Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various antibiotics [PATH:ko00998]	33
Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various other secondary metabolites [PATH:ko00997]	24
Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various plant secondary metabolites [PATH:ko00999]	24
Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism [PATH:ko00232]	6
Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis [PATH:ko00332]	10
Metabolism	Biosynthesis of other secondary metabolites	Clavulanic acid biosynthesis [PATH:ko00331]	2
Metabolism	Biosynthesis of other secondary metabolites	Degradation of flavonoids [PATH:ko00946]	21
Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis [PATH:ko00944]	9
Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis [PATH:ko00941]	17
Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis [PATH:ko00966]	4
Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis [PATH:ko00901]	4
Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis [PATH:ko00403]	2
Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis [PATH:ko00943]	7
Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis [PATH:ko00950]	22
Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis [PATH:ko00261]	26
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis [PATH:ko00401]	17
Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis [PATH:ko00311]	11
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis [PATH:ko00405]	12
Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis [PATH:ko00940]	20
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis [PATH:ko00333]	15
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis [PATH:ko00404]	17
Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis [PATH:ko00521]	18
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	149
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:ko00053]	55
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	106
Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism [PATH:ko00660]	23
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	62
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	110
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:ko00052]	70
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	99
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	97
Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism [PATH:ko00562]	69
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:ko00040]	86
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	80
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	93
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	127
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:ko00500]	102
Metabolism	Energy metabolism	Carbon fixation in photosynthetic organisms [PATH:ko00710]	34
Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	101
Metabolism	Energy metabolism	Methane metabolism [PATH:ko00680]	190
Metabolism	Energy metabolism	Nitrogen metabolism [PATH:ko00910]	62
Metabolism	Energy metabolism	Oxidative phosphorylation [PATH:ko00190]	198
Metabolism	Energy metabolism	Photosynthesis - antenna proteins [PATH:ko00196]	13
Metabolism	Energy metabolism	Photosynthesis [PATH:ko00195]	45
