lvB	lvC	n
Lipid metabolism	Steroid hormone biosynthesis [PATH:ko00140]	22
Lipid metabolism	alpha-Linolenic acid metabolism [PATH:ko00592]	25
Metabolism of cofactors and vitamins	Biotin metabolism [PATH:ko00780]	23
Metabolism of cofactors and vitamins	Folate biosynthesis [PATH:ko00790]	78
Metabolism of cofactors and vitamins	Lipoic acid metabolism [PATH:ko00785]	29
Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism [PATH:ko00760]	82
Metabolism of cofactors and vitamins	One carbon pool by folate [PATH:ko00670]	36
Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	44
Metabolism of cofactors and vitamins	Porphyrin metabolism [PATH:ko00860]	128
Metabolism of cofactors and vitamins	Retinol metabolism [PATH:ko00830]	21
Metabolism of cofactors and vitamins	Riboflavin metabolism [PATH:ko00740]	49
Metabolism of cofactors and vitamins	Thiamine metabolism [PATH:ko00730]	36
Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	54
Metabolism of cofactors and vitamins	Vitamin B6 metabolism [PATH:ko00750]	24
Metabolism of other amino acids	Cyanoamino acid metabolism [PATH:ko00460]	26
Metabolism of other amino acids	D-Amino acid metabolism [PATH:ko00470]	52
Metabolism of other amino acids	Glutathione metabolism [PATH:ko00480]	50
Metabolism of other amino acids	Phosphonate and phosphinate metabolism [PATH:ko00440]	25
Metabolism of other amino acids	Selenocompound metabolism [PATH:ko00450]	29
Metabolism of other amino acids	Taurine and hypotaurine metabolism [PATH:ko00430]	28
Metabolism of other amino acids	beta-Alanine metabolism [PATH:ko00410]	46
Metabolism of terpenoids and polyketides	"Biosynthesis of 12-, 14- and 16-membered macrolides [PATH:ko00522]"	20
Metabolism of terpenoids and polyketides	"Pinene, camphor and geraniol degradation [PATH:ko00907]"	20
Metabolism of terpenoids and polyketides	Biosynthesis of ansamycins [PATH:ko01051]	29
Metabolism of terpenoids and polyketides	Biosynthesis of enediyne antibiotics [PATH:ko01059]	46
Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]	31
Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide backbone [PATH:ko01056]	7
Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide products [PATH:ko01057]	41
Metabolism of terpenoids and polyketides	Biosynthesis of vancomycin group antibiotics [PATH:ko01055]	22
Metabolism of terpenoids and polyketides	Brassinosteroid biosynthesis [PATH:ko00905]	8
Metabolism of terpenoids and polyketides	Carotenoid biosynthesis [PATH:ko00906]	46
Metabolism of terpenoids and polyketides	Diterpenoid biosynthesis [PATH:ko00904]	18
Metabolism of terpenoids and polyketides	Insect hormone biosynthesis [PATH:ko00981]	14
Metabolism of terpenoids and polyketides	Limonene degradation [PATH:ko00903]	6
Metabolism of terpenoids and polyketides	Monoterpenoid biosynthesis [PATH:ko00902]	4
Metabolism of terpenoids and polyketides	Nonribosomal peptide structures [PATH:ko01054]	40
Metabolism of terpenoids and polyketides	Polyketide sugar unit biosynthesis [PATH:ko00523]	39
Metabolism of terpenoids and polyketides	Sesquiterpenoid and triterpenoid biosynthesis [PATH:ko00909]	18
Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis [PATH:ko00900]	56
Metabolism of terpenoids and polyketides	Tetracycline biosynthesis [PATH:ko00253]	14
Metabolism of terpenoids and polyketides	Type I polyketide structures [PATH:ko01052]	81
Metabolism of terpenoids and polyketides	Zeatin biosynthesis [PATH:ko00908]	7
Not included in regular maps	Global maps only	1
Nucleotide metabolism	Purine metabolism [PATH:ko00230]	201
Nucleotide metabolism	Pyrimidine metabolism [PATH:ko00240]	108
Xenobiotics biodegradation and metabolism	Aminobenzoate degradation [PATH:ko00627]	74
Xenobiotics biodegradation and metabolism	Atrazine degradation [PATH:ko00791]	13
Xenobiotics biodegradation and metabolism	Benzoate degradation [PATH:ko00362]	94
Xenobiotics biodegradation and metabolism	Bisphenol degradation [PATH:ko00363]	2
Xenobiotics biodegradation and metabolism	Caprolactam degradation [PATH:ko00930]	19
Xenobiotics biodegradation and metabolism	Chloroalkane and chloroalkene degradation [PATH:ko00625]	22
Xenobiotics biodegradation and metabolism	Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]	25
Xenobiotics biodegradation and metabolism	Dioxin degradation [PATH:ko00621]	20
Xenobiotics biodegradation and metabolism	Drug metabolism - cytochrome P450 [PATH:ko00982]	13
Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes [PATH:ko00983]	30
Xenobiotics biodegradation and metabolism	Ethylbenzene degradation [PATH:ko00642]	10
Xenobiotics biodegradation and metabolism	Fluorobenzoate degradation [PATH:ko00364]	10
Xenobiotics biodegradation and metabolism	Furfural degradation [PATH:ko00365]	8
Xenobiotics biodegradation and metabolism	Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	19
Xenobiotics biodegradation and metabolism	Naphthalene degradation [PATH:ko00626]	14
Xenobiotics biodegradation and metabolism	Nitrotoluene degradation [PATH:ko00633]	19
Xenobiotics biodegradation and metabolism	Polycyclic aromatic hydrocarbon degradation [PATH:ko00624]	34
Xenobiotics biodegradation and metabolism	Steroid degradation [PATH:ko00984]	15
Xenobiotics biodegradation and metabolism	Styrene degradation [PATH:ko00643]	21
Xenobiotics biodegradation and metabolism	Toluene degradation [PATH:ko00623]	33
Xenobiotics biodegradation and metabolism	Xylene degradation [PATH:ko00622]	28
