ko	HB-MSP	HL-MP	HL2-MP	HN-YNBP	IM-IMBP	JL-BSWP	JL-LXP	JL-SLBP	LN-BJBP	LN-JSBP	LN-LDBP	LN-THNP	LN2-LDBP	SD-LWP	SX-LLBP	lvC	lvB	lvCdes	lvBdes
ko04139	-2.83273860545693	-3.90651380165774	-2.96944256246289	-3.95351520827508	-3.64950070946538	-3.83738475238174	-4.48178136445523	0	-4.47864197892033	-3.78541137570713	-3.06815375351428	0	-3.80874883417026	0	-4.01628510123308	C04139	B09141	Mitophagy - yeast [PATH:ko04139]	Transport and catabolism
ko04141	0	0	0	0	0	0	0	0	-4.0323467355684	0	0	0	0	0	0	C04141	B09123	Protein processing in endoplasmic reticulum [PATH:ko04141]	"Folding, sorting and degradation"
ko04144	0	0	0	0	0	0	0	0	-3.16144323459887	0	0	0	0	0	0	C04144	B09141	Endocytosis [PATH:ko04144]	Transport and catabolism
ko04260	0	0	0	-3.27890892108431	0	0	0	0	-3.57708299194439	0	0	0	0	0	0	C04260	B09153	Cardiac muscle contraction [PATH:ko04260]	Circulatory system
ko04341	0	0	0	0	0	0	0	0	-2.58393792592679	0	0	0	0	0	0	C04341	B09132	Hedgehog signaling pathway - fly [PATH:ko04341]	Signal transduction
ko04392	0	0	0	0	0	0	0	0	-2.53648595550998	0	0	0	0	0	0	C04392	B09132	Hippo signaling pathway - multiple species [PATH:ko04392]	Signal transduction
ko04621	0	0	0	0	0	0	0	0	-3.85002629260967	0	0	0	0	0	0	C04621	B09151	NOD-like receptor signaling pathway [PATH:ko04621]	Immune system
ko04623	0	0	0	0	0	0	0	0	-3.32795795769417	0	0	0	0	0	0	C04623	B09151	Cytosolic DNA-sensing pathway [PATH:ko04623]	Immune system
ko04625	0	0	0	0	0	0	0	0	-2.91570944046689	0	0	0	0	0	0	C04625	B09151	C-type lectin receptor signaling pathway [PATH:ko04625]	Immune system
ko04626	-4.00650918287188	0	-3.40125673442132	-3.18114252435053	0	0	0	0	-2.83037119818226	0	0	-3.19745159931342	0	0	0	C04626	B09159	Plant-pathogen interaction [PATH:ko04626]	Environmental adaptation
ko04657	0	0	0	0	0	0	0	0	-3.5034946046824	0	0	0	0	0	0	C04657	B09151	IL-17 signaling pathway [PATH:ko04657]	Immune system
ko04714	0	0	0	-3.4667016632249	0	0	-3.69895027214321	0	-4.61322170424837	0	0	0	0	0	-3.1702665382842	C04714	B09159	Thermogenesis [PATH:ko04714]	Environmental adaptation
ko04726	0	0	0	0	0	0	0	0	-3.05967802736422	0	0	0	0	0	0	C04726	B09156	Serotonergic synapse [PATH:ko04726]	Nervous system
ko04742	0	0	0	0	0	0	0	0	-3.31795866161375	0	0	0	0	0	0	C04742	B09157	Taste transduction [PATH:ko04742]	Sensory system
ko04812	0	0	0	0	0	0	0	0	-6.36254976470515	0	0	0	0	0	0	C04812	B09183	Cytoskeleton proteins [BR:ko04812]	Protein families: signaling and cellular processes
ko04814	0	0	0	0	0	0	0	0	-5.81100859228805	0	0	0	0	0	0	C04814	B09142	Motor proteins [PATH:ko04814]	Cell motility
ko04921	0	0	0	0	0	0	0	0	-2.48825554976877	0	0	0	0	0	0	C04921	B09152	Oxytocin signaling pathway [PATH:ko04921]	Endocrine system
ko04929	0	0	0	0	0	0	0	0	-3.27494011245402	0	0	0	0	0	0	C04929	B09152	GnRH secretion [PATH:ko04929]	Endocrine system
ko04932	0	0	0	0	0	0	0	0	-3.27171648738854	0	0	0	0	0	0	C04932	B09167	Non-alcoholic fatty liver disease [PATH:ko04932]	Endocrine and metabolic disease
ko04962	0	0	0	0	0	0	0	0	-2.95554820088325	0	0	0	0	0	0	C04962	B09155	Vasopressin-regulated water reabsorption [PATH:ko04962]	Excretory system
ko04990	0	0	0	0	0	0	0	0	-2.83792569712257	0	0	0	0	0	0	C04990	B09183	Domain-containing proteins not elsewhere classified [BR:ko04990]	Protein families: signaling and cellular processes
ko05010	0	0	0	-3.86790686817929	0	0	0	0	-4.50952779890468	0	0	0	0	0	0	C05010	B09164	Alzheimer disease [PATH:ko05010]	Neurodegenerative disease
ko05012	0	0	0	-4.69153113244589	0	0	-3.35996322523218	0	-5.22800457186392	0	0	0	0	0	0	C05012	B09164	Parkinson disease [PATH:ko05012]	Neurodegenerative disease
ko05014	0	0	0	-5.13073140492432	0	0	-5.43911697782329	0	-6.18247229818829	0	0	0	0	0	0	C05014	B09164	Amyotrophic lateral sclerosis [PATH:ko05014]	Neurodegenerative disease
ko05016	0	0	0	-5.42864244938875	0	0	-6.50942680881519	0	-6.42635870874277	0	0	0	0	0	-3.0240829840113	C05016	B09164	Huntington disease [PATH:ko05016]	Neurodegenerative disease
ko05017	0	0	0	0	0	0	0	0	-4.31500209723316	0	0	0	0	0	0	C05017	B09164	Spinocerebellar ataxia [PATH:ko05017]	Neurodegenerative disease
ko05020	0	0	0	-4.69862335773414	-3.00313423001711	0	-3.6409800383922	0	-5.31166655621693	0	0	0	0	0	0	C05020	B09164	Prion disease [PATH:ko05020]	Neurodegenerative disease
ko05022	0	0	0	0	0	0	0	0	-4.45753465988197	0	0	0	0	0	0	C05022	B09164	Pathways of neurodegeneration - multiple diseases [PATH:ko05022]	Neurodegenerative disease
ko05131	0	0	0	0	0	0	0	0	-2.92709194712938	0	0	0	0	0	0	C05131	B09171	Shigellosis [PATH:ko05131]	Infectious disease: bacterial
ko05132	0	0	0	0	0	0	0	0	-2.91049168137822	0	0	0	0	0	0	C05132	B09171	Salmonella infection [PATH:ko05132]	Infectious disease: bacterial
ko05133	0	0	0	0	0	0	0	0	-2.98630106382586	-2.82238830713571	0	0	0	0	0	C05133	B09171	Pertussis [PATH:ko05133]	Infectious disease: bacterial
ko05170	0	0	0	0	0	0	0	0	-2.70648695721061	0	0	0	0	0	0	C05170	B09172	Human immunodeficiency virus 1 infection [PATH:ko05170]	Infectious disease: viral
ko05208	0	0	0	0	0	0	0	0	-3.19373868308634	0	0	0	0	0	0	C05208	B09161	Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]	Cancer: overview
ko05222	0	0	0	0	0	0	0	0	-2.54036365218176	0	0	0	0	0	0	C05222	B09162	Small cell lung cancer [PATH:ko05222]	Cancer: specific types
ko05412	0	0	0	0	0	0	0	0	-2.4951148468731	0	0	0	0	0	0	C05412	B09166	Arrhythmogenic right ventricular cardiomyopathy [PATH:ko05412]	Cardiovascular disease
ko05415	0	0	0	-3.5788907712881	0	0	-2.67417932192554	0	-4.2293996989514	0	0	0	0	0	0	C05415	B09166	Diabetic cardiomyopathy [PATH:ko05415]	Cardiovascular disease
