DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	completeness
PN15RA_k141_132227	100
J77_NODE_6_1	77.48
K319_NODE_5_1	95.56
PN1RC_k141_624899	100
PN2GD_k141_196561	67.29
PN7RT_k141_1872202_1	100
PN3DD_k141_118164	52.56
PN13RR_k141_1323883	100
PN7RM_k141_1189755	100
PN16RK_k141_848462	100
PN16RO_k141_711265	100
PN1LK_k141_364574	60.96
PN1RC_k141_2847667	53.02
PN1RK_k141_1975523	54.93
PN2CF_k141_1727916	55.3
PN2LD_k141_799902	82.32
PN2RF_k141_760349	71.63
PN3LA_k141_1296075	81.03
PN6RK_k141_1118573	55.28
PN6RT_k141_1705081	65.72
PN7RB_k141_264801	81.52
PN7RU_k141_1179233	89.31
PN8RO_k141_250682_1	64.95
PN3LA_k141_915547	100
PN5RA_k141_242837	59.68
PN6RM_k141_313247	66.66
PN7RN_k141_323106	100
J1385_NODE_1_1	81.95
J1385_NODE_3_1	100
PN16RV_k141_1036786	52.81
PN13RI_k141_1517676	100
PN7RO_k141_1314925	100
PN10RG_k141_2101557	81.28
PN10RG_k141_2131870	100
PN10RH_k141_2330311	100
PN10RJ_k141_1564745_1	83.19
PN10RN_k141_1434489_1	100
PN10RN_k141_7749_1	99.37
PN11RI_k141_2252232	100
PN11RO_k141_813701	88.18
PN12RH_k141_976817	93.41
PN13RA_k141_2029746	57.18
PN13RI_k141_283866	92
PN13RI_k141_636790_1	100
PN13RP_k141_1816280_1	67.91
PN14RB_k141_1446438	56.27
PN14RF_k141_861355_1	77.61
PN14RQ_k141_190850_1	100
PN16RA_k141_2495262	100
PN16RA_k141_596622_1	51.51
PN16RA_k141_677659	100
PN1CB_k141_389047	63.28
PN1CH_k141_984825	100
PN1GG_k141_198227	55.17
PN1GG_k141_219423_1	77.15
PN1GG_k141_289873	69.69
PN1GG_k141_458498_1	53.81
PN1GG_k141_85076	91.9
PN1GH_k141_12124_1	100
PN1JE_k141_459192	98.95
PN1JG_k141_41642_1	74.47
PN1LH_k141_1557568	100
PN1RB_k141_883195	91.83
PN2CG_k141_2139676	100
PN2GC_k141_73239	84.54
PN2LB_k141_2083531	60.65
PN3DG_k141_423461	100
PN3GG_k141_202641	100
PN3LE_k141_1547613	72.44
PN3RE_k141_1114360	51.06
PN4RG_k141_1071677_1	66.84
PN5LF_k141_122817	50.79
PN5LF_k141_455341_1	55.61
PN5LF_k141_549949_1	58.13
PN6RF_k141_247980_1	50.36
PN6RH_k141_1513213	54.21
PN6RN_k141_1523750	56.23
PN6RQ_k141_1604334_1	85.96
PN7RC_k141_698595	100
PN7RE_k141_1177636	100
PN7RM_k141_185423	100
PN7RM_k141_965061	62.9
PN7RV_k141_455987_1	97.55
PN8RD_k141_610857	74.09
PN8RL_k141_432591_1	61.96
PN8RN_k141_286304	64.7
PN8RP_k141_202740	69.32
PN8RS_k141_1310808	55.78
PN14RP_k141_699256_1	78.83
PN5RA_k141_4107	66.05
PN13RN_k141_1562096	74.3
PN15RF_k141_313052	52.59
PN13RI_k141_1704048	61.77
PN1RL_k141_852170	76.25
PN14RD_k141_631412	72.33
PN5LE_k141_395296	69.26
PN4RA_k141_1138051_1	92.82
PN5LA_k141_320388	59.57
PN8RD_k141_1123442	66.36
PN13RR_k141_763095	99.21
PN8RJ_k141_1038434_1	98.36
PN4RA_k141_487658_fragment_1	100
PN3LD_k141_90287	100
PN5LD_k141_822671	97.17
PN9RI_k141_1009665	100
PN10RG_k141_1032083	87.88
PN16RS_k141_314600	84.24
PN1RB_k141_1111826_1	100
PN10RQ_k141_407430	100
PN11RF_k141_2326392	100
PN14RN_k141_960128	100
PN1RH_k141_3088510	63.13
PN1RL_k141_2264280	100
PN2RF_k141_421857	86.33
BL1_NODE_8_1	100
PN12RH_k141_1135794	97.03
PN15RB_k141_916132	76.4
PN1GE_k141_38643	57.89
PN1GE_k141_6580	88.32
PN1GJ_k141_96879	64.75
PN3DG_k141_58494	51.41
PN3GH_k141_176980	54.22
PN5CD_k141_368353_1	97.48
PN5GD_k141_342333	100
PN1JH_k141_193338_1	61.97
PN14RO_k141_651685	56.05
PN1GE_k141_316818	57.97
PN8RF_k141_776708	72.78
PN1GG_k141_438038	69.9
PN1RF_k141_334633	100
A99_NODE_3_1	62.2
BL4_NODE_1_1	58.97
CH1_NODE_6_1	59.6
GY2_NODE_1_1	100
GY2_NODE_34_1	62.27
GY2_NODE_5_1	96.15
H31_NODE_3_1	100
H35_NODE_1_1	58.8
H35_NODE_5_1	83.98
J1274_NODE_1_1	93.23
J1343_NODE_6_2	53.04
J1357_NODE_39_1	64.52
K260_NODE_27	94.16
K72_NODE_13_1	92.98
K72_NODE_16_1	55.29
PN10RM_k141_13626	79.36
PN10RP_k141_98199	71.89
PN1GG_k141_383020	100
PN1RL_k141_1147664	100
PN5JC_k141_42103_1	56.57
PN5JC_k141_85530_1	100
PN6RF_k141_1126269	52.14
PN8RR_k141_1416145	100
Q21_NODE_8_1	100
Q29_NODE_1_1	100
Q29_NODE_5	100
Q3_NODE_10_1	54.14
Q43_NODE_9_1	53.65
R99_NODE_5_1	59.82
K312_NODE_2_1	73.53
PN1RH_k141_216261	100
BL5_NODE_2_1	100
H6_NODE_9_1	75.08
J1357_NODE_28_fragment_1	89.75
MR53_NODE_1_1_fragment_1	94.41
PN9RB_k141_625557	98.57
XR16_NODE_2_1	100
CH1_NODE_16_1	98.66
CH1_NODE_19	95.98
GY2_NODE_24_1	76.59
GY8_NODE_2_1	100
H19_NODE_1_1	89.72
J1343_NODE_19	100
J339_NODE_1_1	88.57
PN3RG_k141_2685503	100
Q21_NODE_15	64.3
Q21_NODE_9_1	74.3
XR16_NODE_53_1	61.92
XR34_NODE_3_1	95.31
XR10_NODE_3_1	100
XR10_NODE_8_1	100
CH3_NODE_11_1	60.93
CH3_NODE_39_1	69.65
CH3_NODE_42	98.38
CH3_NODE_51	61.27
K11_NODE_21	98.71
K320_NODE_6_1	86.92
PN1JE_k141_182583	74.68
PN7RP_k141_911533	100
PN8RH_k141_729013	75.01
PN8RL_k141_649408	70.98
PN8RS_k141_1431164	70.58
TY10_NODE_44_1	100
TY9_NODE_2_1	70.26
PN1RL_k141_989139	95.38
PN8RL_k141_526453	73.58
PN13RQ_k141_389292	100
PN1JE_k141_487281	100
PN3CB_k141_1512286_1	50.54
PN6RR_k141_1031630	100
TY10_NODE_2_1	89.94
PN5CH_k141_106722	100
J427_NODE_8	100
J354_NODE_1_1	61.04
PN10RB_k141_1556573	80.66
PN10RE_k141_1220772	73.78
PN10RF_k141_1835983	56.06
PN10RH_k141_2279080	100
PN10RI_k141_27376	58.02
PN11RA_k141_1979683	64.72
PN11RI_k141_1224321	50.41
PN11RI_k141_2252169	100
PN11RI_k141_682831	74
PN11RM_k141_1202730	91.16
PN11RM_k141_372812	51.56
PN12RB_k141_1528084	76.65
PN12RD_k141_1050684	100
PN12RD_k141_1458418	100
PN12RE_k141_946868	65.5
PN12RG_k141_277866	85.16
PN12RG_k141_436704	56.82
PN12RH_k141_508319	56.04
PN12RJ_k141_1487464	100
PN13RA_k141_214791_1	53.31
PN13RA_k141_2165957	85.27
PN13RC_k141_1594190	73.51
PN13RC_k141_883908	71.51
PN13RE_k141_596718	94.3
PN13RL_k141_1484157	55.54
PN13RL_k141_2262413	78.94
PN13RQ_k141_1263350	91.07
PN13RR_k141_388578	52.39
PN13RR_k141_431000_1	100
PN13RS_k141_634756	54.91
PN13RT_k141_44961	52.86
PN14RB_k141_567605	65.66
PN14RD_k141_6866	57.86
PN14RH_k141_1145350	83.04
PN14RI_k141_1424006	50.02
PN14RK_k141_1018723	63.04
PN14RM_k141_689086	56.52
PN14RP_k141_1098898	66.86
PN14RQ_k141_1160641	93.82
PN14RT_k141_446521	51.91
PN15RB_k141_1596035	100
PN15RH_k141_1139441	90.59
PN15RO_k141_826173	60.11
PN16RC_k141_930058	78.07
PN16RE_k141_1662177	100
PN16RH_k141_2353118	100
PN16RN_k141_1887405	54.42
PN1CA_k141_588401	100
PN1CB_k141_36042	100
PN1CD_k141_1966100	55.06
PN1CD_k141_854005	75.16
PN1CF_k141_648755	62.55
PN1CG_k141_125759	69.66
PN1CG_k141_174829	73.87
PN1CG_k141_217331	93.84
PN1CG_k141_809956	80.32
PN1CH_k141_483523	51.98
PN1CJ_k141_612313	78.06
PN1GC_k141_14456	100
PN1GE_k141_101787_1	93.07
PN1GE_k141_185907	69.57
PN1GF_k141_4800	56.03
PN1GG_k141_44788	76.4
PN1GH_k141_48384	100
PN1GH_k141_71210	88.96
PN1GJ_k141_238156_1	61.57
PN1GJ_k141_297743	51.61
PN1GJ_k141_99146	69.37
PN1GL_k141_80702	52.97
PN1LJ_k141_709698	95.15
PN1RC_k141_2789555	79.95
PN1RD_k141_3058572	51.09
PN1RE_k141_394178	64.56
PN1RG_k141_616643	94.85
PN1RI_k141_1327160	54.91
PN1RK_k141_1823283_1	65.7
PN1RK_k141_3380706	53.69
PN1RL_k141_2257904	65.4
PN2CB_k141_663822_fragment_1	99.72
PN2CG_k141_1197735	100
PN2CI_k141_2343961	85.24
PN2CI_k141_2929757	100
PN2GC_k141_18455	100
PN2JA_k141_83014_1	61.2
PN2LA_k141_158020_1	100
PN2LC_k141_1008008	86.4
PN2LD_k141_1168212	74.57
PN2LE_k141_474860	69.3
PN2LG_k141_1277983	61
PN2RC_k141_2785566	90.02
PN2RC_k141_364097	72.53
PN3CA_k141_2129279	50.87
PN3CB_k141_1292114	100
PN3CB_k141_845054	54.51
PN3CD_k141_758192_1	73.31
PN3CD_k141_951965	50.09
PN3DG_k141_201469	55.34
PN3DG_k141_317840	90.31
PN3GA_k141_133738	100
PN3GA_k141_382530	60.1
PN3GB_k141_224472	53.2
PN3GB_k141_35213_fragment_1	65.56
PN3GD_k141_430624	88.66
PN3GF_k141_207487_1	64.39
PN3JD_k141_149675	51.67
PN3LA_k141_1526323_1	100
PN3LA_k141_1634163	55.29
PN3LF_k141_1635394	100
PN3RA_k141_2553034	100
PN3RF_k141_2315266	69.99
PN5CA_k141_569162	57.64
PN5CC_k141_223	57.55
PN5CF_k141_588904	100
PN5GD_k141_632821_1	98.06
PN5GE_k141_226045	55.1
PN5GG_k141_584797	82.88
PN5LE_k141_47250	67.35
PN5LF_k141_397055_1	92.79
PN5RB_k141_1005818	100
PN5RC_k141_232234	96.72
PN5RE_k141_1091206	100
PN5RG_k141_283562	100
PN6RB_k141_2783631	100
PN6RF_k141_1792195	100
PN6RL_k141_623489	74.33
PN6RO_k141_1525198	87
PN6RQ_k141_1052508_1	61.44
PN6RR_k141_1014380	100
PN7RB_k141_537543	73.32
PN7RF_k141_497279	73.12
PN7RI_k141_964886	99.97
PN7RL_k141_1262369	54.61
PN7RS_k141_1089705	63.8
PN7RS_k141_1286596	76.31
PN7RS_k141_78682	82.88
PN8RB_k141_1492480	62.42
PN8RB_k141_523431	60.55
PN8RD_k141_1157030	93.97
PN8RD_k141_1487279	100
PN8RE_k141_319520	61.66
PN8RF_k141_1217753	79.29
PN8RH_k141_782929	59.45
PN8RI_k141_1333607	64.4
PN8RI_k141_1373754	100
PN8RM_k141_1320780	55.43
PN8RM_k141_243613	61.58
PN8RO_k141_1628475_1	62.2
PN8RR_k141_808692	91.82
PN8RS_k141_1548842	60.67
PN9RC_k141_1106292	56.87
PN9RD_k141_1893811	91.45
PN9RJ_k141_1191918	50.65
PN9RJ_k141_1585234	73.1
PN1LD_k141_515734	100
PN6RL_k141_910193	63.72
PN8RS_k141_1103810	100
PN3RF_k141_1821396	75.99
PN7RH_k141_200844	100
PN4RG_k141_801120	100
PN3LA_k141_731624	100
PN14RS_k141_180320	99.13
PN3RF_k141_1328057	68.87
PN5LC_k141_249064_1	94.8
PN1RI_k141_1327357	64.19
PN8RH_k141_1029369	70.32
PN8RB_k141_235756	90.04
PN3GD_k141_819061	87.45
PN2CF_k141_1457581	67.72
PN15RA_k141_803645_1	58.3
PN5RG_k141_961942	100
PN14RQ_k141_855727	88.74
PN10RQ_k141_1690553	100
PN15RA_k141_556674	74.51
PN3RD_k141_2247270	100
PN3GB_k141_463600	51.07
PN7RI_k141_516058	100
PN13RG_k141_242258	65.83
PN7RM_k141_1260145	100
PN14RG_k141_1935755	94.75
PN16RV_k141_1139381	79.66
PN3CA_k141_2034501	99.88
PN8RI_k141_701264	60.32
PN8RQ_k141_780160	59.03
PN8RG_k141_1132847	100
PN16RE_k141_1404016	71.41
PN2CC_k141_919774	93.1
PN5RA_k141_1110477	75.45
PN5RG_k141_563631	51.75
PN8RS_k141_1064712	71.37
PN11RA_k141_422654	50.58
PN11RC_k141_2774917	58.94
PN13RA_k141_1013476_1	100
PN1CG_k141_341166	76.13
PN5RA_k141_439331	63.46
PN5RC_k141_37825	65.57
PN5RD_k141_238916	98.53
PN5RF_k141_414206	64.65
PN9RK_k141_531862_1	62.81
PN14RN_k141_378913_1	98.25
PN1GC_k141_88170	100
PN1RK_k141_3402894	60.24
PN5RG_k141_1019227	100
PN1RJ_k141_1800633	100
PN3RH_k141_2953533_1	76.71
PN7RH_k141_1711983	100
PN13RK_k141_2120372_1	100
PN15RA_k141_676812_1	100
PN1CJ_k141_1416747	100
PN1RA_k141_4269174	91.59
PN5JH_k141_591918	100
PN5RD_k141_725775_1	97.6
PN5RG_k141_466908	64.17
PN11RI_k141_2138372_fragment_1	100
PN12RH_k141_631300	100
PN16RB_k141_303313	100
PN1CA_k141_75685	100
PN1RK_k141_1966819	100
PN2CC_k141_1405031	56.84
PN2RC_k141_1683474	96.58
PN3CB_k141_947888_1	99.01
PN3CD_k141_1371524	50.01
PN4RA_k141_252876	100
PN5CA_k141_720169	76.61
PN5RE_k141_807699	100
PN7RO_k141_61714	92.72
PN8RI_k141_16891	94.52
PN8RO_k141_367191	100
PN1RD_k141_713435	92.7
PN10RC_k141_1176755	100
PN1RI_k141_1486813	100
CH13_NODE_2_1	97.15
PN16RP_k141_333404	96.19
PN5RG_k141_343877	97.51
PN2CJ_k141_65877	70.93
PN8RN_k141_719105	99.08
PN5RB_k141_675539	78.69
PN5RG_k141_1013660_fragment_1	100
CH13_NODE_24_1	92.93
PN11RA_k141_2021951_1	72.12
PN11RC_k141_1959176	61.75
PN11RG_k141_540136	100
PN11RK_k141_2102169	53.02
PN11RL_k141_477086	62.73
PN12RJ_k141_396806	64.14
PN13RA_k141_2254628	100
PN14RR_k141_184264_fragment_1	78.58
PN16RE_k141_465396	99.31
PN1CD_k141_511900	91.09
PN1CF_k141_459621	74.02
PN1CI_k141_504757	100
PN1GE_k141_305117	65.3
PN1GF_k141_162414	100
PN1GF_k141_35582	100
PN1LI_k141_1118363_1	88.97
PN1RF_k141_665741	56.67
PN1RG_k141_381374	100
PN1RI_k141_607224	100
PN1RL_k141_1817957	100
PN2CB_k141_1338302	98.28
PN2RA_k141_627841	100
PN2RG_k141_499345	84.66
PN3CF_k141_2516765	58.45
PN3JE_k141_1973	58.25
PN3LA_k141_9696	100
PN3LC_k141_695144	75.93
PN3RA_k141_1538218	55.79
PN3RA_k141_614558_1	100
PN3RE_k141_1225599	58.26
PN4RE_k141_985043	57.73
PN5CB_k141_118046	80.99
PN5CC_k141_61128	85.59
PN5LA_k141_64767	100
PN5LF_k141_732312_fragment_1	85.91
PN5LH_k141_509752	99.16
PN5RE_k141_431224_1	100
PN5RF_k141_370406	91.21
PN6RB_k141_141750	76.08
PN6RN_k141_205111_1	84.64
PN8RG_k141_479921	65.34
PN8RG_k141_971732	60.5
PN9RE_k141_45117	95.39
PN9RO_k141_1028206	59.06
PN8RO_k141_708628	93.75
PN3RD_k141_1346631	79.99
PN8RG_k141_682231	96.55
PN5JH_k141_297003	95.58
PN14RQ_k141_46322	92.54
PN1RH_k141_506078	82.46
PN7RL_k141_552281_fragment_1	66.69
PN5RB_k141_792740_1	97.89
PN10RL_k141_1876698	100
PN13RE_k141_821292	64.41
PN13RI_k141_83982	100
PN2CI_k141_2699851	96.15
PN14RD_k141_1701072	100
PN5RG_k141_608398_1	81.15
PN3CC_k141_2500759	99.9
PN14RH_k141_891240	68.39
PN1RK_k141_17038	96.11
PN10RN_k141_621367	96.41
PN16RH_k141_148475	65.11
PN1CA_k141_361505	97.58
PN3RA_k141_453813_1	54.5
PN5CF_k141_720800	100
PN7RP_k141_1243058_1	100
CH10_NODE_53_1	83.19
PN10RM_k141_1510247_1	94.4
PN10RO_k141_1276754	100
PN10RO_k141_170838	100
PN14RS_k141_480734	95.11
PN15RO_k141_1303523	100
PN1CC_k141_5728	80.7
PN1CC_k141_779533	76.94
PN1GC_k141_228834	83.15
PN1GG_k141_18777	59.99
PN1GH_k141_102691	74.41
PN1GJ_k141_99496	57.48
PN1GK_k141_65724	77.53
PN1JH_k141_104664_1	75.36
PN1JJ_k141_22499	52.81
PN1JL_k141_128649	100
PN1RH_k141_2095088	59.64
PN2GC_k141_399758	100
PN2GC_k141_426992	100
PN3DG_k141_371017	100
PN3GA_k141_388287	100
PN3GA_k141_6266	54.81
PN3GE_k141_143649	81.62
PN3JA_k141_55584	100
PN3JF_k141_137996	100
PN3JG_k141_350182	51.5
PN5GD_k141_636376_1	85.58
PN5RC_k141_372456	62.06
PN6RF_k141_901165	52.46
PN6RQ_k141_1484611	57.08
PN6RQ_k141_1717997_1	96.38
PN7RE_k141_1291204	52.89
PN7RE_k141_397617	95.51
PN1GE_k141_116111	100
PN1GK_k141_90722	100
PN3JD_k141_113252	74.72
PN11RJ_k141_1863085	53.46
PN11RK_k141_1368833_1	100
PN14RN_k141_1009016	91.27
PN2RI_k141_2599465	58.12
PN3CF_k141_370041	84.15
PN3RF_k141_3292893_1	58.29
PN8RC_k141_226274_fragment_1	71.43
K298_NODE_25_1	79.64
K298_NODE_27	62.71
PN10RH_k141_2075517_1	100
PN10RJ_k141_285861	54.13
PN11RI_k141_795975	65.94
PN13RC_k141_430475	50.08
PN16RK_k141_2195847	60.12
PN16RV_k141_1528384	59.51
PN1CI_k141_219571	58.4
PN1RK_k141_1350794	77.63
PN2CG_k141_1069489	89.07
PN2RA_k141_552669	51.05
PN5RA_k141_238633	80.77
PN5RB_k141_603541	53.77
PN5RE_k141_1091079	100
PN6RM_k141_1251512	65.45
PN7RB_k141_777111_1	61.93
PN8RO_k141_895593	57.52
PN8RQ_k141_62363	53.27
PN3RH_k141_1952597_1	87.64
PN10RO_k141_1875878_1	74.57
PN13RH_k141_1205624	61.96
PN5RB_k141_518943	74.62
PN8RC_k141_220773	79.69
PN6RO_k141_1716429	100
PN14RP_k141_1084326_1	80.02
PN13RA_k141_355897	50.18
PN15RE_k141_462058	88.98
PN7RV_k141_623612	53.44
PN5CA_k141_523490_fragment_1	69.8
PN11RI_k141_1564012	68.14
PN12RI_k141_353311	77.55
PN2CH_k141_1773512	79.8
PN2LD_k141_969554	80.89
PN9RK_k141_419698	61.33
PN16RE_k141_180419	94.14
PN11RG_k141_1672478	75.22
PN12RE_k141_250755	75.74
PN13RE_k141_535603	100
PN13RQ_k141_694424	100
PN14RA_k141_290188	100
PN14RB_k141_618548	83.87
PN14RD_k141_1691452	54.36
PN14RM_k141_276507	72.7
PN14RR_k141_937447	84.45
PN16RO_k141_1779827	100
PN16RR_k141_373709	52
PN1CG_k141_972766	79.24
PN1GE_k141_11787	50.76
PN1GG_k141_341195	100
PN1RA_k141_4399301	100
PN1RJ_k141_1800640	100
PN1RK_k141_1645201	68.39
PN1RL_k141_322926	100
PN2RI_k141_2984224	100
PN3CC_k141_1360053	54.56
PN3CC_k141_779362	62.51
PN3LA_k141_387266	86.55
